ID;PLZ;Strasse;Betreff;Cons_2011;Days_2011;Cons_2012;Days_2012;Cons_2013;Days_2013;FilterNonHousehold;Portal;pPoints;pEarnedPoints;pHouseholdType;pMainHeatingType;pWaterHeatingType;pLivingAreaM2;pHouseholdMembers;pCreated;pLastVisited
49;8200;Amselweg;Whg 2 Strom;3419;364;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
50;8200;Amselweg;Whg 2 Strom;0;0;4070;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
51;8200;Amselweg;Whg 3 Strom;2404;364;4181;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
52;8200;Amselweg;Whg 1 Strom;3559;364;4097;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
53;8200;Amselweg;1.OG rechts;318;364;489;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
54;8200;Amselweg;1.OG links;0;0;1464;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
55;8200;Amselweg;1.OG links;2149;395;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
56;8200;Amselweg;EG links;2053;379;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
57;8200;Amselweg;EG links;0;0;2118;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
58;8200;Amselweg;EG rechts;1046;364;1344;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
59;8200;Amselweg;1.OG links;842;364;1112;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
60;8200;Amselweg;1.OG rechts;1240;364;1608;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
61;8200;Amselweg;EG rechts;1396;364;1839;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
62;8200;Amselweg;EG links;2190;364;3319;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
63;8200;Amselweg;1.OG links;508;364;531;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
64;8200;Amselweg;1.OG rechts;718;303;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
65;8200;Amselweg;1.OG rechts;115;60;1238;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
66;8200;Amselweg;EG links;2319;364;3047;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
67;8200;Amselweg;EG rechts;1843;364;1834;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
68;8200;Amselweg;1.OG links;1983;364;2214;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
69;8200;Amselweg;1.OG rechts;525;213;828;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
70;8200;Amselweg;1.OG rechts;74;122;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
71;8200;Amselweg;EG rechts;2816;364;605;122;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
72;8200;Amselweg;EG rechts;0;0;961;305;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
73;8200;Amselweg;EG links;1123;364;1359;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
74;8200;Amselweg;2.OG links;0;0;24;30;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
75;8200;Amselweg;2.OG links;0;0;588;243;0;0;0;1;147;147;appartment;oil;partial;75;1;10.08.13 09:30;10.08.13 11:47
76;8200;Amselweg;2.OG links;2120;364;857;137;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
77;8200;Amselweg;2.OG rechts;0;0;1703;305;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
78;8200;Amselweg;2.OG rechts;2782;364;1013;150;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
79;8200;Amselweg;1.OG rechts;749;241;1555;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
80;8200;Amselweg;1.OG links;0;0;1465;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
81;8200;Amselweg;1.OG links;1685;303;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
82;8200;Amselweg;EG links;0;0;1351;318;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
83;8200;Amselweg;EG links;2375;364;756;122;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
84;8200;Amselweg;EG rechts;0;0;107;30;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
85;8200;Amselweg;EG rechts;3215;364;4729;425;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
86;8200;Amselweg;2.OG rechts;900;364;1275;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
87;8200;Amselweg;2.OG links;0;0;1199;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
88;8200;Amselweg;2.OG links;999;364;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
89;8200;Amselweg;1.OG rechts;803;364;987;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
90;8200;Amselweg;1.OG links;884;364;1275;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
91;8200;Amselweg;EG rechts;0;0;441;152;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
92;8200;Amselweg;EG rechts;2401;364;134;272;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
93;8200;Amselweg;EG links;0;0;4078;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
94;8200;Amselweg;EG links;1113;379;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
95;8200;Amselweg;Whg 40 Strom;984;364;1119;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
96;8200;Bachstraße;EG links;0;0;1076;456;0;0;0;1;80;80;appartment;oil;oil;70;2;18.08.13 20:23;18.08.13 22:31
97;8200;Bergstraße;Parkhaus Strom;18489;364;13854;272;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
98;8200;Bergstraße;UG rechts Strom;13630;364;14262;456;0;0;1;0;NA;NA;NA;NA;NA;0;0;NA;NA
99;8200;Bodenseestraße;1.OG Whg;0;0;547;305;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
100;8200;Bodenseestraße;1.OG Whg;826;364;353;150;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
101;8200;Bodenseestraße;Allgemeinstrom;1097;364;1232;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
102;8200;Bodenseestraße;EFH Strom;7640;364;8671;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
103;8200;Bodenseestraße;EFH Strom;0;0;9715;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
104;8200;Bodenseestraße;EFH Strom;3173;364;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
105;8200;Bodenseestraße;EFH Strom;5015;364;6221;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
106;8200;Bodenseestraße;EFH Strom;4435;364;5272;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
107;8200;Bodenseestraße;3.OG Whg Strom;1444;364;2409;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
108;8200;Bodenseestraße;2.OG Whg Strom;1391;364;1476;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
109;8200;Bodenseestraße;1.OG Whg Strom;338;91;3756;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
110;8200;Bodenseestraße;1.OG Whg Strom;1566;272;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
111;8200;Bodenseestraße;5.OG;954;364;1257;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
112;8200;Bodenseestraße;4.OG;2762;364;3034;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
113;8200;Bodenseestraße;3.OG links;2052;364;2251;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
